City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Arcata,US,40.8665,-124.0828,71.13,80,1,1.99,clear sky
201,Minot,US,48.2325,-101.2963,78.12,49,1,3.0,clear sky
202,Gallup,US,35.5281,-108.7426,83.16,26,1,14.97,clear sky
203,Madera,US,37.1666,-119.8343,96.08,23,0,1.01,clear sky
204,Henderson,US,36.0397,-114.9819,105.24,4,1,16.11,clear sky
205,Oakdale,US,44.963,-92.9649,80.02,71,1,1.99,clear sky
206,Dublin,US,37.7021,-121.9358,92.89,57,1,3.0,haze
207,Gillette,US,44.2911,-105.5022,74.32,38,1,6.91,clear sky
208,Bloomingdale,US,27.8936,-82.2404,85.89,86,90,1.01,overcast clouds
209,Marshalltown,US,42.0494,-92.908,79.07,83,1,4.61,clear sky
210,Greenwood,US,34.1668,-82.1165,73.54,76,90,3.44,overcast clouds
